,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
164,399106.SZ,20200304,1895.7393,1877.1152,1895.7393,1860.2623,1888.9199,6.8194,0.361,513348245.0,602117062.3
165,399106.SZ,20200303,1888.9199,1902.8129,1926.4649,1872.2079,1869.6488,19.2711,1.0307,601666152.0,728950349.7
166,399106.SZ,20200302,1869.6488,1821.9417,1879.3891,1817.54,1801.747,67.9018,3.7687,532405548.0,632086433.2
167,399106.SZ,20200228,1801.747,1831.8229,1860.7131,1799.6562,1895.1329,-93.3859,-4.9277,610890436.0,696848229.7
168,399106.SZ,20200227,1895.1329,1899.6019,1917.8316,1871.6964,1890.6043,4.5286,0.2395,551694823.0,654632006.5
169,399106.SZ,20200226,1890.6043,1916.5879,1934.1056,1883.8673,1943.1679,-52.5636,-2.705,686513098.0,817348520.0
170,399106.SZ,20200225,1943.1679,1893.0129,1945.7587,1860.2955,1933.3583,9.8096,0.5074,730505831.0,902187396.9
171,399106.SZ,20200224,1933.3583,1905.5602,1939.335,1897.1742,1907.35,26.0083,1.3636,620546346.0,770457502.5
172,399106.SZ,20200221,1907.35,1884.7403,1921.0285,1882.7713,1886.1402,21.2098,1.1245,600391734.0,725971466.2
173,399106.SZ,20200220,1886.1402,1851.3402,1887.1292,1844.0034,1846.4045,39.7357,2.1521,551710619.0,654664639.5
174,399106.SZ,20200219,1846.4045,1855.4141,1870.8165,1845.8505,1856.5621,-10.1576,-0.5471,537762852.0,657484297.2
175,399106.SZ,20200218,1856.5621,1837.3262,1856.5621,1826.0975,1835.9606,20.6015,1.1221,528090836.0,624947512.1
176,399106.SZ,20200217,1835.9606,1789.9099,1835.9606,1789.9099,1779.4304,56.5302,3.1769,481114964.0,570188828.1
177,399106.SZ,20200214,1779.4304,1769.4178,1795.004,1764.7806,1771.6102,7.8202,0.4414,417093369.0,504892464.5
178,399106.SZ,20200213,1771.6102,1785.0093,1791.8551,1764.9494,1785.3305,-13.7203,-0.7685,455290399.0,536585012.8
179,399106.SZ,20200212,1785.3305,1751.7805,1785.5975,1750.3396,1758.0151,27.3154,1.5538,420141761.0,492545457.1
180,399106.SZ,20200211,1758.0151,1759.2606,1769.2137,1746.114,1757.2643,0.7508,0.0427,417815190.0,483068699.7
181,399106.SZ,20200210,1757.2643,1733.3331,1757.3773,1729.731,1736.1709,21.0934,1.2149,470890837.0,544274326.0
182,399106.SZ,20200207,1736.1709,1726.0385,1738.321,1706.0736,1727.2375,8.9334,0.5172,489619557.0,567200990.2
183,399106.SZ,20200206,1727.2375,1680.2268,1733.3604,1668.497,1678.6394,48.5981,2.8951,481109434.0,554856051.9
184,399106.SZ,20200205,1678.6394,1648.5207,1697.4998,1648.2368,1638.0217,40.6177,2.4797,454671825.0,523099589.0
185,399106.SZ,20200204,1638.0217,1552.9575,1641.0621,1552.9575,1609.002,29.0197,1.8036,511560080.0,536037346.6
186,399106.SZ,20200203,1609.002,1598.7966,1626.498,1598.7966,1756.815,-147.813,-8.4137,195449921.0,262459733.7
187,399106.SZ,20200123,1756.815,1801.6957,1813.7025,1740.1392,1819.61,-62.795,-3.451,402894259.0,481547538.0
188,399106.SZ,20200122,1819.61,1797.9694,1825.1437,1773.7352,1806.5352,13.0748,0.7238,352090081.0,429531266.5
189,399106.SZ,20200121,1806.5352,1825.3003,1825.3003,1806.0783,1829.9525,-23.4173,-1.2797,338540804.0,404258431.8
190,399106.SZ,20200120,1829.9525,1809.3376,1829.9525,1802.0719,1806.2802,23.6723,1.3106,330625512.0,408001033.3
191,399106.SZ,20200117,1806.2802,1815.6623,1821.0189,1803.1576,1811.5686,-5.2884,-0.2919,304820102.0,365143215.6
192,399106.SZ,20200116,1811.5686,1815.4961,1819.0554,1807.7902,1814.2135,-2.6449,-0.1458,317968373.0,375957685.2
